Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,Measure Name,Neph Comm and Caring Achievement Measure Rate,Neph Comm and Caring Measure Score,State Average Neph Comm and Caring Measure Score,National Average Neph Comm and Caring Measure Score,Quality of Dialysis Care and Ops Achievement Measure Rate,Quality of Dialysis Care and Ops Measure Score,State Average Quality of Dialysis Care and Ops Measure Score,National Average Quality of Dialysis Care and Ops Measure Score,Providing Info to Patients Achievement Measure Rate,Providing Info to Patients Measure Score,State Average Providing Info to Patients Measure Score,National Average Providing Info to Patients Measure Score,Overall Rating of Neph Achievement Measure Rate,Overall Rating of Neph Measure Score,State Average Overall Rating of Neph Measure Score,National Average Overall Rating of Neph Measure Score,Overall Rating of Dialysis Staff Achievement Measure Rate,Overall Rating of Dialysis Staff Measure Score,State Average Overall Rating of Dialysis Staff Measure Score,National Average Overall Rating of Dialysis Staff Measure Score,Overall Rating of Dialysis Facility Achievement Measure Rate,Overall Rating of Dialysis Facility Measure Score,State Average Overall Rating of Dialysis Facility Measure Score,National Average Overall Rating of Dialysis Facility Measure Score,ICHCAHPS Measure Score,ICH CAHPS Reason for No Score (See Footnotes File),State Average ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score
BAYLOR COLLEGE OF MEDICINE-SCOTT STREET DIALYSIS,672605,-,"6120 SCOTT STREET, SUITE F",HOUSTON,TX,77021,14,ICH CAHPS,71.88%,7,5,4,55.66%,3,4,4,75.43%,2,4,5,65.53%,6,4,4,54.65%,3,4,4,48.80%,1,5,4,4,-,5,5
BAYRIDGE SUNSET PK DIALYSIS CTR,332560,-,"140 58TH STREET - BUILDING B, BOX 65",BROOKLYN,NY,11220,2,ICH CAHPS,58.83%,1,4,4,50.98%,0,4,4,75.06%,1,3,5,47.75%,0,3,4,43.35%,0,4,4,47.67%,0,4,4,0,-,4,5
BAYSHORE DIALYSIS CENTER,452745,-,4901 E SAM HOUSTON PKWY S,PASADENA,TX,77505,14,ICH CAHPS,66.41%,4,5,4,57.12%,2,4,4,76.81%,2,4,5,65.99%,6,4,4,52.82%,2,4,4,65.96%,4,5,4,3,-,5,5
BAY SPRINGS DIALYSIS,252554,-,14 BAY AVENUE,BAY SPRINGS,MS,39422,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,3,5
BEACH PARK DIALYSIS,142864,-,3113 N. LEWIS AVENUE,Waukegan,IL,60087,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,9",5,5
BEAR LAKE DIALYSIS CENTER,132304,131316,164 S FIFTH ST,MONTPELIER,ID,83254,16,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,7,4,No Rate,No Score,7,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,"4,7",7,5
BEAUMONT KIDNEY CENTER,452835,-,1085 S. 23RD STREET,BEAUMONT,TX,77707,14,ICH CAHPS,74.33%,8,5,4,69.38%,8,4,4,79.44%,4,4,5,68.38%,7,4,4,77.96%,10,4,4,82.68%,10,5,4,8,-,5,5
BEAVER DAM DIALYSIS,523531,-,110 MONROE STREET,BEAVER DAM,WI,53916,11,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
BEECHNUT DIALYSIS,452880,-,8325 BEECHNUT,HOUSTON,TX,77036,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,4,5,5
"Belfair Dialysis, LLC",672771,-,1629 TREASURE HILLS BLVD - SUITE 8,HARLINGEN,TX,78550,14,ICH CAHPS,81.42%,10,5,4,78.16%,10,4,4,87.75%,10,4,5,77.67%,10,4,4,80.38%,10,4,4,78.99%,8,5,4,10,-,5,5
Bellaire Dialysis,672806,-,14412 BELLAIRE BLVD.,SUGAR LAND,TX,77478,14,ICH CAHPS,No Rate,0,5,4,No Rate,0,4,4,No Rate,0,4,5,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,5,4,0,-,5,5
BELLE GLADE DIALYSIS CENTER,102571,-,933 SE 1ST ST,BELLE GLADE,FL,33430,7,ICH CAHPS,80.23%,10,4,4,64.65%,6,4,4,84.76%,8,4,5,80.38%,10,4,4,62.47%,5,4,4,64.88%,4,4,4,7,-,5,5
BELMONT COURT DIALYSIS - DOYLESTOWN CAMPUS,392545,-,252 BELMONT AVENUE,Doylestown,PA,18901,4,ICH CAHPS,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,5,5,No Rate,0,3,4,No Rate,0,4,4,No Rate,0,5,4,0,-,5,5
BELMONT DIALYSIS CENTER,342652,-,5010 MEDICAL CARE COURT,BELMONT,NC,28012,6,ICH CAHPS,57.58%,0,3,4,60.45%,4,3,4,73.51%,0,4,5,49.70%,1,3,4,67.85%,6,3,4,78.04%,8,3,4,3,-,4,5
BELOIT HEALTH SYSTEM - DIALYSIS,522324,520100,1969 W HART RD,BELOIT,WI,53511,11,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
BENSALEM DIALYSIS CENTER,392742,-,1336 BRISTOL PIKE - UNITS 12 &13,Bensalem,PA,19020,4,ICH CAHPS,64.62%,3,4,4,68.41%,8,4,4,83.01%,7,5,5,64.05%,5,3,4,75.40%,9,4,4,90.54%,10,5,4,7,-,5,5
BENTON COUNTY DIALYSIS CTR,042575,-,801 SE PLAZA AVE STE 1,BENTONVILLE,AR,72712,13,ICH CAHPS,65.93%,4,4,4,57.66%,2,3,4,74.10%,1,4,5,53.25%,2,4,4,52.18%,1,3,4,65.22%,4,3,4,2,-,4,5
Berkshire Medical Center,222305,220046,DIALYSIS UNIT - 8 CONTE DRIVE,PITTSFIELD,MA,01201,1,ICH CAHPS,69.30%,5,5,4,59.63%,3,5,4,86.60%,9,5,5,55.51%,3,5,4,53.60%,2,5,4,65.99%,4,5,4,4,-,5,5
BESSEMER KIDNEY CENTER,012534,-,975 9TH AVE SW - SUITE 500,BESSEMER,AL,35022,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
BETHANY HEALTH SERVICES,262653,-,903 N 25TH STREET,BETHANY,MO,64424,12,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",5,5
BIENVILLE DIALYSIS CTR NORTH,192533,-,3333 BIENVILLE STE 1B-C,NEW ORLEANS,LA,70119,13,ICH CAHPS,No Rate,0,4,4,No Rate,0,3,4,No Rate,0,3,5,No Rate,0,4,4,No Rate,0,3,4,No Rate,0,3,4,0,-,4,5
BIG LAKE KIDNEY CENTER LLC,682515,-,3240 HIGHWAY 441 SOUTH,OKEECHOBEE,FL,34974,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
"Biio-Medical Applications of Texas, Inc.",672818,-,1721 S COLORADO ST,LOCKHART,TX,78644,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,7",5,5
BILLINGS CLINIC DIALYSIS,272510,-,616 N 25TH ST,Billings,MT,59101,16,ICH CAHPS,67.18%,5,3,4,59.65%,3,4,4,79.88%,5,5,5,56.96%,3,3,4,50.25%,1,5,4,62.02%,3,5,4,3,-,4,5
Biomedical Application of Indiana,152532,-,4001 EAST WABASH AVENUE,TERRE HAUTE,IN,47803,9,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"5,7",5,5
"Bio-Medical Application of Kentucky, Inc.",182632,-,1834 LYDA AVENUE,BOWLING GREEN,KY,42104,9,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
"Bio-Medical Application of Tennessee, Inc.",442527,-,4440 WALKER BLVD.,KNOXVILLE,TN,37917,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,6,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
"Bio-Medical Application of Texas, Inc.",672891,-,26865 INTERSTATE 45 STE 100,SPRING,TX,77380,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,7,9",5,5
BIO MEDICAL APPLICATIONS OF ALABAMA,012695,-,8000 CHARLOTTE DRIVE SW,HUNTSVILLE,AL,35802,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",4,5
BIO-MEDICAL APPLICATIONS OF ALABAMA,012654,-,100 MITYLENE PARK LN,MONTGOMERY,AL,36117,8,ICH CAHPS,70.84%,6,4,4,54.07%,0,4,4,78.77%,4,5,5,57.59%,3,4,4,40.33%,0,4,4,53.53%,0,4,4,2,-,4,5
BIO-MEDICAL APPLICATIONS OF ALABAMA,012680,-,1012 FRIENDSHIP ROAD,TALLASSEE,AL,36078,8,ICH CAHPS,61.70%,2,4,4,67.91%,7,4,4,81.85%,6,5,5,55.67%,3,4,4,65.98%,6,4,4,84.72%,10,4,4,6,-,4,5
BIO-MEDICAL APPLICATIONS OF ALABAMA,012696,-,107 SARALAND LOOP,SARALAND,AL,36571,8,ICH CAHPS,64.34%,3,4,4,67.98%,7,4,4,85.53%,8,5,5,52.57%,2,4,4,63.17%,5,4,4,85.02%,10,4,4,6,-,4,5
"Bio Medical Applications of Alabama, Inc",012674,-,700 SARA G LOTT BLVD,BRUNDIDGE,AL,36010,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
"Bio-Medical Applications of Alabama, Inc",012681,-,11839 HIGHWAY 231-431 NORTH,MERIDIANVILLE,AL,35759,8,ICH CAHPS,68.52%,5,4,4,62.92%,5,4,4,90.52%,10,5,5,70.37%,7,4,4,60.94%,4,4,4,73.45%,7,4,4,6,-,4,5
"Bio-Medical Applications of Alabama, Inc.",012682,-,"2017 QUINTARD AVE, SUITE B",ANNISTON,AL,36201,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
"Bio-Medical Applications of Alabama, Inc.",012706,-,105 INVERNESS CORS,BIRMINGHAM,AL,35242,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7,9",4,5
"Bio-Medical Applications of Alabama, Inc.",012708,-,1850 PARKLAND DR NE,CULLMAN,AL,35058,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,9",4,5
BIO MEDICAL APPLICATIONS OF ALABAMA INC,012692,-,2834 SPRING AVENUE SW,DECATUR,AL,35603,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
"BIO MEDICAL APPLICATIONS OF ALABAMA, INC.",012667,-,917 B PLANTATION BLVD,FAIRHOPE,AL,36532,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"5,7",4,5
BIO-MEDICAL APPLICATIONS OF ALABAMA INC,012552,-,65 NORTH CATHERINE STREET,MOBILE,AL,36604,8,ICH CAHPS,70.33%,6,4,4,67.92%,7,4,4,87.59%,10,5,5,51.48%,1,4,4,61.44%,4,4,4,80.12%,9,4,4,6,-,4,5
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC",012687,-,"2024 4TH AVE SOUTH, SUITE 100",BIRMINGHAM,AL,35233,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",012659,-,9540 PARKWAY E,BIRMINGHAM,AL,35215,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",012664,-,12401 SKOPELOS RD,GRAND BAY,AL,36541,8,ICH CAHPS,63.96%,3,4,4,50.90%,0,4,4,83.55%,7,5,5,49.70%,1,4,4,52.47%,2,4,4,62.34%,3,4,4,3,-,4,5
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",012710,-,40 WASDEN RD,HOPE HULL,AL,36043,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,9",4,5
"Bio-Medical Applications of Arizona, LLA",032659,-,7862 E FLORENTINE RD - SUITE 100,Prescott Valley,AZ,86314,15,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,"4,5,9",4,5
"Bio-Medical Applications of Arkansas, Inc",042550,-,1001 E MOULTRIE,BLYTHEVILLE,AR,72315,13,ICH CAHPS,74.09%,8,4,4,65.10%,6,3,4,86.51%,9,4,5,65.15%,6,4,4,57.73%,4,3,4,62.34%,3,3,4,6,-,4,5
"BIO-MEDICAL APPLICATIONS OF CALIFORNIA, INC.",052861,-,"2020 E. FIRST STREET, SUITE 100",Santa Ana,CA,92705,18,ICH CAHPS,74.32%,8,5,4,71.81%,9,6,4,80.44%,5,5,5,73.86%,9,5,4,72.28%,8,6,4,80.45%,9,6,4,8,-,6,5
BIO-MEDICAL APPLICATIONS OF DELAWARE INC,082529,-,1417 FOULK ROAD,Wilmington,DE,19803,4,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,2,5,No Rate,No Score,3,4,No Rate,No Score,2,4,No Rate,No Score,3,4,No Score,"4,7",4,5
"BIO-MEDICAL APPLICATIONS OF DELAWARE, INC.",082530,-,"230 E. MAIN STREET, UNIT 325",Newark,DE,19711,4,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,2,5,No Rate,No Score,3,4,No Rate,No Score,2,4,No Rate,No Score,3,4,No Score,"4,7",4,5
"BIO-MEDICAL APPLICATIONS OF FLORIDA, INC.",102778,-,6848 ALOMA AVE,WINTER PARK,FL,32792,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
"Bio-Medical Applications of GA, Inc",852513,-,234 KINGS BAY ROAD,KINGSLAND,GA,31548,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,4,4,5
Bio-Medical Applications of Georgia,852506,-,110 LOGAN COURT,ALBANY,GA,31707,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,"4,7",4,5
"Bio-Medical Applications of Georgia, Inc",852509,-,65 FRANCIS WAY,SHARPSBURG,GA,30277,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,"4,7",4,5
"Bio-Medical Applications of Georgia, Inc",852535,-,4455 STONE MOUNTAIN HWY,LILBURN,GA,30047,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,4,4,5
"Bio-Medical Applications of Georgia, Inc",852561,-,112 VILLAGE WALK,Dallas,GA,30132,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,"4,5,9",4,5
"Bio-Medical Applications of Georgia, Inc.",112896,-,2450 MT. ZION PARKWAY,JONESBORO,GA,30236,6,ICH CAHPS,75.26%,8,4,4,61.99%,4,4,4,71.61%,0,4,5,67.11%,6,4,4,53.88%,2,3,4,65.62%,4,4,4,4,-,4,5
"Bio-Medical Applications of Georgia, Inc.",852507,-,3602 MARATHON CIRCLE,AUSTELL,GA,30106,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,4,4,5
"Bio-Medical Applications of Georgia, Inc.",852511,-,5694A OGEECHEE ROAD,SAVANNAH,GA,31405,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,4,4,5
"Bio-Medical Applications of Georgia, Inc.",852522,-,3441 FENCE ROAD,DACULA,GA,30019,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,"4,7",4,5
Bio-Medical Applications Of Georgia Inc,852558,-,130 PARKWOOD CIRCLE,Carrollton,GA,30117,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,"4,5,9",4,5
"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC",112612,-,857 CURTIS PKWY SE,CALHOUN,GA,30701,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,4,4,5
"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC",112752,-,172 THREE RIVERS DRIVE NE,ROME,GA,30161,6,ICH CAHPS,62.10%,3,4,4,66.39%,7,4,4,81.28%,7,4,5,55.67%,3,4,4,54.79%,5,3,4,54.55%,4,4,4,5,-,4,5
"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC.",112519,-,1078 PLAZA AVE,Eastman,GA,31023,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,4,4,5
"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC.",112792,-,14 CHEROKEE RD - SUITE A,CEDARTOWN,GA,30125,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,4,4,5
"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC.",112888,-,"315 W. 10TH STREET, NE - SUITE 105",ROME,GA,30165,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,"4,7",4,5
"BIOMEDICAL APPLICATIONS OF GEORGIA, INC",112795,-,12541 HIGHWAY 27,SUMMERVILLE,GA,30747,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,4,4,5
"BIO-MEDICAL APPLICATIONS OF GEORGIA,LLC",112868,-,150 GENTILLY BOULEVARD,CARTERSVILLE,GA,30120,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,"4,5,7",4,5
Bio-medical Applications of Indiana,152695,-,5526 E. HIGHWAY 62,Jeffersonville,IN,47130,9,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7,9",5,5
"Bio-Medical Applications of Kentucky, Inc",182641,-,"1112 S MAIN STREET, - SUITE 11",Franklin,KY,42134,9,ICH CAHPS,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,4,5,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,4,4,0,-,5,5
"Bio-Medical Applications of Kentucky, Inc.",182640,-,"23A STREET, SUITE A",Louisa,KY,41230,9,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",5,5
"Bio-Medical Applications of Kentucky, INC.",182642,-,1715 GAGEL AVENUE,Louisville,KY,40216,9,ICH CAHPS,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,4,5,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,4,4,0,-,5,5
Bio-Medical Applications of Leawood,172532,-,6751 W 119TH ST,LEAWOOD,KS,66209,12,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,6,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,5,5
"BIO-MEDICAL APPLICATIONS OF MAINE, INC.",202516,-,46 SUMMER STREET,GARDINER,ME,04345,1,ICH CAHPS,No Rate,No Score,6,4,No Rate,No Score,7,4,No Rate,No Score,7,5,No Rate,No Score,5,4,No Rate,No Score,7,4,No Rate,No Score,8,4,No Score,"4,5,7",7,5
"Bio-Medical Applications of Maryland, Inc.",212700,-,5233 KING AVENUE - SUITE 116,Baltimore,MD,21237,5,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,5,7",4,5
Bio-Medical Applications of Massachusetts Inc,222594,-,867 GRAFTON STREET,WORCESTER,MA,01604,1,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,7",5,5
BIO MEDICAL APPLICATIONS OF MICHIGAN INC,232727,-,49641 GRAND RIVER AVE,WIXOM,MI,48393,11,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,7",5,5
BIO MEDICAL APPLICATIONS OF MICHIGAN INC,232735,-,5250 AUTO CLUB DR STE 100,DEARBORN,MI,48126,11,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,5,7,9",5,5
"BIO-MEDICAL APPLICATIONS OF MICHIGAN, INC.",232721,-,1266 ANNA J STEPP DR,YPSILANTI,MI,48197,11,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,7",5,5
"BIO-MEDICAL APPLICATIONS OF MINNESOTA, INC.",242545,-,2637 PARK AVE S,MINNEAPOLIS,MN,55407,11,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
"BIO-MEDICAL APPLICATIONS OF MINNESOTA, INC.",242698,-,3000 HUNDERTMARK RD - SUITE 6,CHASKA,MN,55318,11,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
"BIO-MEDICAL APPLICATIONS OF MINNESOTA, INC.",242700,-,7433 CURRELL BLVD,WOODBURY,MN,55125,11,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
"Biomedical Applications of Mississippi, Inc",252537,-,570 DEERFIELD DRIVE,FOREST,MS,39074,8,ICH CAHPS,70.42%,6,4,4,59.96%,3,3,4,76.98%,3,3,5,58.05%,3,3,4,54.35%,2,3,4,69.47%,5,3,4,4,-,3,5
"Bio-Medical Applications of Mississippi, Inc.",252590,-,656 NORTH STATE STREET,JACKSON,MS,39202,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,3,5
"BIO-MEDICAL APPLICATIONS OF MISSISSIPPI, INC",252550,-,1409 E. UNION STREET,GREENVILLE,MS,38703,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,5,7",3,5
"BIO-MEDICAL APPLICATIONS OF MISSISSIPPI, INC",252555,-,20019 HWY 61 SOUTH - P.O. BOX 9,ROLLING FORK,MS,39159,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,3,5
Bio-Medical Applications of New Hampshire Inc,302516,-,19 KEEWADIN DRIVE SUITE 1,SALEM,NH,03079,1,ICH CAHPS,No Rate,No Score,1,4,No Rate,No Score,3,4,No Rate,No Score,5,5,No Rate,No Score,2,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,4,4,5
