Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Patients Included in Hemoglobin Measure Score Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Patients Included in Hemoglobin Measure Score Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Hemodialysis  Measure Score Performance Period,Number of Kt/V Adult Hemodialysis Patient Months Performance Period,Kt/V Adult Hemodialysis Baseline Period Rate,Number of Kt/V Adult Hemodialysis  Patient Months Baseline Period,Kt/V Adult Hemodialysis Performance Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Peritoneal Dialysis Measure Score  Performance Period,Number of Kt/V Adult Peritoneal Dialysis Patient Months Performance Period,Kt/V Adult Peritoneal Dialysis Baseline Period Rate,Number of Kt/V Adult Peritoneal Dialysis Patient Months Baseline Period,Kt/V Adult Peritoneal Dialysis Performance Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Pediatric Hemodialysis  Measure Score Performance Period,Number of Kt/V Pediatric Hemodialysis Patient Months Performance Period,Kt/V Pediatric Hemodialysis Baseline Period Rate,Number of Kt/V Pediatric Hemodialysis Patient Months Baseline Period,Kt/V Pediatric Hemodialysis Performance Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,Fistula Measure Score,Fistula Performance Period Rate,Number of Patients Included in Fistula Measure Score  Performance Period,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of  Patients Included in Catheter Measure Score Performance Period,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,Total Performance Score,PY2015 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2013",Date of Ownership Record Update
DIALYSIS FACILITIES INC WAYCROSS,112518,,,,220 UVALDA STREET,,WAYCROSS,GA,31501,6,8,1%,72,0%,66,Achievement,6,93%,94,788,93%,673,Achievement,N/A,Insufficient data,N/A,2,Insufficient data,3,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,6,63%,83,857,61%,762,Achievement,7,9%,90,781,8%,679,Achievement,7,10,10,10,10,78,No reduction,09/05/1979,NOT A CHAIN,02/09/2011
FMC OF EASTMAN INC,112519,,,,115 PROFESIONAL CENTER DRIVE,,EASTMAN,GA,31023,6,10,0%,27,0%,23,Achievement,6,92%,37,305,84%,279,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,6,63%,29,312,61%,286,Achievement,7,9%,30,295,8%,272,Achievement,7,10,10,8,10,81,No reduction,10/19/1980,FRESENIUS MEDICAL CARE,04/03/2011
DIALYSIS CLINIC INC NORTHSIDE,112522,,,,870 NORTHSIDE DRIVE SUITE 300,,ATLANTA,GA,30318,6,10,0%,87,0%,63,Achievement,2,88%,101,821,90%,658,Achievement,N/A,Insufficient data,N/A,57,Insufficient data,87,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,2,0,46%,92,891,47%,664,Achievement,6,11%,95,771,10%,637,Achievement,3,10,10,10,10,63,No reduction,07/06/1981,"DIALYSIS CLINIC, INC.",01/29/2010
SOUTHWEST ATLANTA DIALYSIS CENTER,112523,,,,3620 MARTIN LUTHER KING JR DRIVE SOUTHWEST,,ATLANTA,GA,30331,6,10,0%,91,0%,93,Achievement,9,96%,119,1128,98%,1150,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,12,Insufficient data,3,N/A,9,1,50%,109,1189,52%,1166,Achievement,9,6%,111,1148,7%,1116,Achievement,5,10,10,10,10,85,No reduction,06/24/1981,DAVITA,11/06/2005
US RENAL CARE DALTON DIALYSIS,112524,,,,1009 PROFESSIONAL BOULEVARD,,DALTON,GA,30720,6,10,0%,85,0%,77,Achievement,5,91%,98,758,94%,632,Achievement,4,76%,23,203,93%,192,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,7,67%,82,817,69%,695,Achievement,3,17%,89,754,18%,638,Achievement,5,10,10,10,10,75,No reduction,01/01/1982,NOT A CHAIN,08/11/2011
DOUGLASVILLE DIALYSIS,112526,,,,3899 LONGVIEW DRIVE,,DOUGLASVILLE,GA,30135,6,10,0%,52,2%,54,Achievement,7,94%,76,526,98%,539,Achievement,10,99%,19,173,98%,168,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,7,67%,49,523,71%,531,Achievement,8,7%,53,490,4%,490,Achievement,8,10,10,10,10,90,No reduction,10/04/1982,DAVITA,05/11/2011
WASHINGTON DIALYSIS FACILITY,112527,,,,154 WASHINGTON PLAZA,,WASHINGTON,GA,30673,6,10,0%,43,0%,44,Achievement,10,97%,58,498,98%,520,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,7,68%,54,561,80%,536,Achievement,10,2%,56,524,1%,518,Achievement,9,10,10,10,10,98,No reduction,10/26/1983,DAVITA,10/29/2012
AMERICUS DIALYSIS,112528,,,,227 NORTH LEE STREET,,AMERICUS,GA,31709,6,10,0%,68,0%,67,Achievement,9,96%,81,736,98%,744,Achievement,N/A,Insufficient data,N/A,1,Insufficient data,8,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,3,55%,74,769,49%,774,Achievement,9,6%,75,732,7%,742,Achievement,6,10,10,10,10,88,No reduction,02/11/1983,DAVITA,07/12/2007
COLUMBUS HOME DIALYSIS,112530,,,,2821 WARM SPRINGS ROAD,,COLUMBUS,GA,31904,6,10,0%,28,0%,28,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,87%,42,356,91%,335,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,N/A,N/A,N/A,N/A,No Score Calculated,No reduction,08/15/1983,"DIALYSIS CLINIC, INC.",09/20/2013
"BMA OF WARNER ROBINS, INC.",112531,,,,118 OSIGIAN BOULEVARD,,WARNER ROBINS,GA,31088,6,10,0%,87,1%,83,Achievement,7,93%,85,713,80%,718,Improvement,7,85%,24,205,81%,210,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,5,61%,74,773,57%,762,Achievement,5,13%,79,712,16%,719,Achievement,5,10,10,8,10,79,No reduction,07/18/1983,FRESENIUS MEDICAL CARE,01/21/2010
JESUP DIALYSIS,112532,,,,301 PEACHTREE STREET,,JESUP,GA,31545,6,10,0%,44,0%,42,Achievement,10,97%,59,464,98%,498,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,4,57%,50,508,55%,504,Achievement,9,6%,52,481,6%,484,Achievement,7,10,10,10,10,93,No reduction,05/08/1984,DAVITA,02/25/2011
BMA OF COVINGTON INC,112533,,,,7215 INDUSTRIAL BOULEVARD,,COVINGTON,GA,30014,6,10,0%,44,0%,46,Achievement,3,89%,69,557,84%,576,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,10,80%,50,548,79%,564,Achievement,10,1%,55,538,2%,535,Achievement,10,10,10,9,10,82,No reduction,05/15/1984,FRESENIUS MEDICAL CARE,03/18/2013
RAI SANDERSVILLE INC,112534,,,,614 SOUTH HARRIS STREET SUITE F,,SANDERSVILLE,GA,31082,6,10,0%,22,0%,23,Achievement,9,96%,33,292,97%,268,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,3,53%,28,292,42%,285,Improvement,10,4%,28,278,16%,264,Achievement,7,10,10,10,10,90,No reduction,07/12/1984,RENAL ADVANTAGE,03/20/2014
DOUGLAS DIALYSIS,112535,,,,190 WESTSIDE DRIVE,SUITE A,DOUGLAS,GA,31533,6,10,0%,79,0%,67,Achievement,10,98%,90,821,96%,766,Achievement,7,84%,11,85,Insufficient data,100,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,7,67%,82,873,60%,807,Achievement,9,6%,86,838,10%,747,Achievement,8,10,10,10,10,95,No reduction,02/13/1985,DAVITA,01/28/2013
FMC THOMSON DIALYSIS,112540,,,,1020 WEST HILL STREET,,THOMSON,GA,30824,6,10,0%,49,4%,83,Achievement,8,93%,68,632,74%,888,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,6,63%,62,666,61%,935,Achievement,8,8%,66,642,7%,893,Achievement,7,10,10,5,10,84,No reduction,08/11/1986,FRESENIUS MEDICAL CARE,03/30/2012
FRESENIUS MEDICAL CARE TOCCOA,112541,,,,929 FALLS ROAD,,TOCCOA,GA,30577,6,10,0%,37,0%,25,Achievement,8,95%,51,404,97%,322,Achievement,N/A,Insufficient data,N/A,10,Insufficient data,1,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,3,55%,40,406,47%,333,Achievement,8,8%,42,368,7%,318,Achievement,6,10,10,10,10,85,No reduction,08/18/1986,RENAL CARE GROUP INC.,12/03/2010
"MEDICAL KIDNEY SERVICES OF CENTRAL GEORGIA, LTD",112544,,,,521 WEST MONTGOMERY STREET,SUITE 14-A,MILLEDGEVILLE,GA,31061,6,10,0%,12,0%,14,Achievement,10,100%,13,144,98%,136,Achievement,N/A,Insufficient data,N/A,12,Insufficient data,12,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,1,40%,12,143,32%,134,Improvement,3,17%,12,143,16%,133,Achievement,2,10,10,10,10,80,No reduction,02/02/1987,NOT A CHAIN,03/30/2012
ELBERTON DIALYSIS FACILITY INC,112545,,,,894 ELBERT STREET,,ELBERTON,GA,30635,6,10,0%,34,0%,42,Achievement,9,96%,44,364,97%,474,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,0,44%,38,407,44%,483,Achievement,10,4%,40,388,2%,469,Achievement,5,10,10,10,10,85,No reduction,05/14/1987,DAVITA,01/21/2010
LAURENS COUNTY DIALYSIS,112546,,,,2400 BELLEVUE ROAD,ERIN OFFICE PARK #8,DUBLIN,GA,31021,6,10,0%,52,0%,55,Achievement,10,99%,70,582,97%,652,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,6,64%,61,636,66%,659,Achievement,10,2%,65,593,0%,633,Achievement,8,10,10,9,10,94,No reduction,07/13/1987,DAVITA,01/21/2010
FMC NORTHERN GEORGIA INC,112551,,,,411 HOSPITAL ROAD,,CANTON,GA,30114,6,10,0%,24,0%,23,Achievement,7,94%,38,243,86%,274,Achievement,N/A,Insufficient data,N/A,63,Insufficient data,35,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,7,68%,24,234,57%,266,Achievement,7,9%,27,224,9%,253,Achievement,7,10,10,8,10,84,No reduction,06/02/1988,FRESENIUS MEDICAL CARE,01/21/2010
EASTLAKE DIALYSIS,112553,,,,1757 CANDLER ROAD SOUTHEAST,,DECATUR,GA,30032,6,10,0%,34,0%,35,Achievement,8,95%,46,382,98%,405,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,10,77%,39,397,70%,417,Achievement,10,3%,43,363,9%,402,Achievement,10,10,10,10,10,95,No reduction,09/06/1988,DAVITA,01/21/2010
DCI ARLINGTON,112554,,,,585 MARTIN LUTHER KING JR DRIVE,,ARLINGTON,GA,39813,6,10,0%,45,0%,48,Achievement,7,94%,53,518,96%,551,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,1,50%,47,519,51%,560,Achievement,10,0%,49,502,0%,554,Achievement,6,10,10,10,10,83,No reduction,10/03/1988,"DIALYSIS CLINIC, INC.",02/13/2007
HINESVILLE DIALYSIS,112555,,,,522 EG MILES PARKWAY,,HINESVILLE,GA,31313,6,10,0%,49,0%,44,Achievement,10,97%,62,548,96%,552,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,7,66%,55,576,64%,570,Achievement,10,1%,57,541,3%,543,Achievement,9,10,10,10,10,98,No reduction,09/29/1988,DAVITA,01/21/2010
THOMASTON DIALYSIS,112557,,,,1065 HIGHWAY 19 NORTH,,THOMASTON,GA,30286,6,8,1%,69,0%,61,Achievement,10,98%,68,626,99%,582,Achievement,10,98%,16,133,93%,133,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,8,69%,61,671,63%,619,Achievement,9,6%,67,637,9%,596,Achievement,9,10,10,10,10,93,No reduction,07/06/1989,DAVITA,06/22/2012
ST MARYS DIALYSIS,112558,,,,2714 OSBORNE ROAD,,SAINT MARYS,GA,31558,6,10,0%,44,0%,42,Achievement,10,97%,56,466,93%,418,Achievement,N/A,Insufficient data,N/A,56,Insufficient data,48,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,9,74%,49,494,69%,427,Achievement,8,7%,50,455,9%,384,Achievement,8,10,10,10,10,95,No reduction,05/19/1989,DAVITA,10/04/2013
DAVITA FORT VALLEY,112559,,,,557 BLUEBIRD BOULEVARD,,FORT VALLEY,GA,31030,6,10,0%,45,0%,42,Achievement,9,96%,71,467,97%,435,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,5,60%,49,495,55%,447,Achievement,8,8%,54,450,7%,422,Achievement,7,10,10,10,10,90,No reduction,07/10/1989,DAVITA,11/06/2005
ATLANTA DIALYSIS,112561,,,,567 NORTH AVENUE NORTHEAST SUITE 200,,ATLANTA,GA,30308,6,10,0%,53,0%,62,Achievement,10,98%,65,609,98%,714,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,2,52%,57,633,60%,738,Achievement,10,2%,61,627,3%,724,Achievement,6,10,10,10,10,90,No reduction,07/26/1989,DAVITA,06/21/2013
FORD FACTORY SQUARE DIALYSIS,112562,,,,567 NORTH AVENUE NORTHEAST SUITE 100,,ATLANTA,GA,30308,6,10,0%,52,0%,48,Achievement,10,97%,63,548,97%,596,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,3,55%,57,619,56%,615,Achievement,10,5%,58,589,4%,577,Achievement,7,10,10,10,10,93,No reduction,08/14/1989,DAVITA,04/01/2009
FMC TUCKER,112563,,,,4845 LAVISTA ROAD,,TUCKER,GA,30084,6,10,0%,27,0%,31,Achievement,7,94%,51,366,85%,412,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,8,69%,36,359,66%,405,Achievement,7,9%,41,338,6%,371,Achievement,7,10,10,9,10,84,No reduction,11/01/1989,FRESENIUS MEDICAL CARE,01/21/2010
LINDEN DIALYSIS,112566,,,,121 LINDEN AVENUE NORTHEAST,,ATLANTA,GA,30308,6,10,0%,68,1%,70,Achievement,7,94%,76,572,94%,637,Achievement,7,87%,36,246,88%,284,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,4,59%,61,617,57%,630,Achievement,7,9%,65,590,9%,602,Achievement,6,10,10,10,10,83,No reduction,03/12/1990,DAVITA,06/02/2011
PIEDMONT DIALYSIS,112567,,,,105 COLLIER ROAD NORTHWEST,B LEVEL,ATLANTA,GA,30309,6,10,0%,35,0%,30,Achievement,5,91%,45,320,96%,311,Achievement,N/A,Insufficient data,N/A,89,Insufficient data,78,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,9,73%,34,329,62%,312,Achievement,10,3%,35,289,2%,286,Achievement,10,10,10,10,10,88,No reduction,11/05/1989,DAVITA,01/09/2007
SOUTH FULTON DIALYSIS,112568,,,,2685 METROPOLITAN PARKWAY SOUTHWEST,SUITE F,ATLANTA,GA,30315,6,10,0%,63,0%,68,Achievement,7,94%,83,631,94%,691,Achievement,8,90%,13,95,91%,105,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,9,74%,66,680,71%,755,Achievement,10,2%,69,643,5%,701,Achievement,10,10,10,10,10,93,No reduction,08/22/1990,DAVITA,04/17/2009
NEPHRON CORPORATION,112569,,,,605 OLD NORCROSS ROAD,,LAWRENCEVILLE,GA,30045,6,10,0%,36,0%,31,Achievement,1,14%,48,385,0%,371,Improvement,0,4%,12,88,0%,118,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,1,7,67%,41,409,58%,395,Achievement,2,20%,45,379,19%,365,Achievement,4,10,10,10,10,63,No reduction,10/01/1990,NOT A CHAIN,08/09/2013
DAVITA INC MILLEDGEVILLE,112571,,,,400 SOUTH WAYNE STREET,,MILLEDGEVILLE,GA,31061,6,10,0%,33,0%,31,Achievement,7,94%,52,395,95%,403,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,1,49%,39,409,55%,412,Achievement,7,10%,42,377,10%,396,Achievement,4,10,10,9,10,77,No reduction,10/18/1990,DAVITA,01/21/2010
COLUMBUS DIALYSIS,112573,,,,6228 BRADLEY PARK DRIVE,SUITE B,COLUMBUS,GA,31904,6,10,0%,41,0%,35,Achievement,8,95%,71,449,97%,405,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,2,52%,48,460,44%,417,Achievement,4,15%,52,414,16%,379,Achievement,3,10,10,10,10,78,No reduction,12/10/1990,DAVITA,02/27/2014
DCI FORT OGLETHORPE,112574,,,,201 THOMAS ROAD,,FORT OGLETHORPE,GA,30742,6,10,0%,39,0%,54,Achievement,7,94%,52,466,88%,562,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,9,73%,43,475,55%,576,Achievement,8,8%,50,464,22%,543,Achievement,8,10,10,10,10,88,No reduction,03/05/1991,"DIALYSIS CLINIC, INC.",11/12/2007
DCI DAWSON,112576,,,,806 FORREST DRIVE,,DAWSON,GA,39842,6,6,2%,58,0%,54,Achievement,7,94%,77,700,90%,698,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,1,48%,64,691,44%,723,Achievement,10,3%,67,679,2%,685,Achievement,6,10,10,10,10,73,No reduction,07/24/1991,"DIALYSIS CLINIC, INC.",11/06/2005
BUCKHEAD DIALYSIS,112578,,,,1575 NORTHSIDE DRIVE NORTHEAST,SUITE 365,ATLANTA,GA,30318,6,10,0%,27,0%,45,Achievement,6,93%,45,307,98%,374,Achievement,N/A,Insufficient data,N/A,26,97%,143,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,5,62%,31,314,55%,369,Achievement,10,1%,34,299,2%,334,Achievement,8,10,10,10,10,85,No reduction,05/11/1992,DAVITA,02/23/2010
WYLDS ROAD DIALYSIS,112579,,,,1815 WYLDS ROAD,,AUGUSTA,GA,30909,6,6,2%,47,0%,29,Achievement,1,86%,86,462,91%,329,Achievement,N/A,Insufficient data,N/A,9,Insufficient data,31,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,1,1,50%,70,479,49%,319,Achievement,6,11%,70,351,12%,293,Achievement,4,10,10,9,10,52,0.5%,10/06/1992,DAVITA,08/06/2012
COBB DIALYSIS,112581,,,,3865 MEDICAL PARK DRIVE,,AUSTELL,GA,30106,6,10,0%,43,0%,43,Achievement,10,98%,65,523,98%,510,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,9,74%,52,542,75%,531,Achievement,8,7%,55,505,3%,504,Achievement,8,10,10,10,10,95,No reduction,05/10/1991,DAVITA,01/21/2010
FMC CENTRAL ATLANTA DIALYSIS CENTER,112582,,,,22 EXECUTIVE PARK WEST NORTHEAST SUITE 2200,,ATLANTA,GA,30329,6,N/A,Insufficient data,8,0%,18,N/A,0,74%,24,104,79%,179,Achievement,N/A,Insufficient data,N/A,14,Insufficient data,12,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,1,40%,12,102,33%,185,Improvement,7,9%,15,99,7%,176,Achievement,4,10,10,5,10,37,1.5%,04/01/1993,FRESENIUS MEDICAL CARE,06/06/2008
DAVITA DIALYSIS OF MIDDLE GEORGIA INC.,112583,,,,747 SECOND STREET,,MACON,GA,31201,6,10,0%,60,0%,55,Achievement,10,97%,71,628,97%,644,Achievement,8,88%,18,133,87%,60,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,3,53%,65,655,42%,712,Improvement,7,9%,70,639,14%,654,Achievement,5,10,10,10,10,88,No reduction,05/17/1993,DAVITA,12/29/2011
NEPHROLOGY CENTER OF STATESBORO,112584,,,,4B COLLEGE PLAZA,,STATESBORO,GA,30458,6,10,0%,43,2%,46,Achievement,10,97%,51,508,98%,527,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,4,58%,50,547,55%,552,Achievement,10,3%,51,530,3%,504,Achievement,7,10,10,10,10,93,No reduction,07/19/1993,DAVITA,11/06/2005
DCI EAST ALBANY,112587,,,,1314 RADIUM SPRINGS ROAD,,ALBANY,GA,31705,6,10,0%,68,0%,70,Achievement,6,93%,86,795,85%,847,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,0,46%,78,817,43%,861,Achievement,10,3%,81,774,3%,834,Achievement,5,10,10,10,10,78,No reduction,08/18/1993,"DIALYSIS CLINIC, INC.",03/07/2013
WAYNESBORO DIALYSIS,112588,,,,163 SOUTH LIBERTY STREET,,WAYNESBORO,GA,30830,6,10,0%,43,0%,45,Achievement,10,97%,62,580,98%,528,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,76%,56,610,71%,546,Achievement,8,8%,59,571,8%,520,Achievement,9,10,10,10,10,98,No reduction,10/18/1993,AMERICAN RENAL ASSOCIATES,01/29/2013
FRESENIUS MEDICAL CARE PERIMETER,112590,,,,5825 GLENRIDGE DRIVE,BLDG 3 SUITE 150,ATLANTA,GA,30328,6,10,0%,51,0%,56,Achievement,2,88%,74,537,85%,556,Achievement,7,84%,11,92,93%,124,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,2,52%,55,537,54%,588,Achievement,10,3%,62,511,4%,551,Achievement,6,10,10,8,10,71,No reduction,12/15/1993,FRESENIUS MEDICAL CARE,02/17/2009
FMCNA CARTERSVILLE,112591,,,,14 ROVING ROAD SOUTHEAST,,CARTERSVILLE,GA,30121,6,10,0%,44,0%,40,Achievement,5,92%,77,602,88%,510,Achievement,N/A,Insufficient data,N/A,25,Insufficient data,2,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,8,70%,62,648,72%,534,Achievement,10,3%,68,595,2%,482,Achievement,9,10,10,9,10,84,No reduction,12/22/1993,FRESENIUS MEDICAL CARE,11/06/2005
PAULDING DIALYSIS,112594,,,,4019 JOHNS ROAD,,DALLAS,GA,30132,6,10,0%,29,0%,34,Achievement,9,96%,44,336,98%,388,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,6,63%,35,347,62%,407,Achievement,10,2%,35,318,8%,388,Achievement,8,10,10,9,10,92,No reduction,05/01/1994,DAVITA,02/07/2014
SOUTHERN LANE DIALYSIS,112596,,,,1840 SOUTHERN LANE,,DECATUR,GA,30033,6,10,0%,17,0%,18,Achievement,0,82%,76,324,94%,213,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,1,49%,24,251,59%,218,Achievement,5,13%,26,230,10%,194,Achievement,3,10,10,9,10,57,0.5%,04/18/1994,DAVITA,12/07/2011
DAVITA BUENA VISTA,112598,,,,"102 EAST BURKHALTER STREET, SUITE A",,BUENA VISTA,GA,31803,6,10,0%,21,0%,21,Achievement,10,100%,22,214,96%,216,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,75%,22,235,50%,229,Achievement,10,5%,23,214,11%,210,Achievement,10,10,10,10,10,100,No reduction,06/22/1994,DAVITA,05/13/2013
"FRESENIUS MEDICAL CARE HONEYCREEK DIALYSIS, LLC",112599,,,,1285 WELLBROOK CIRCLE,,CONYERS,GA,30012,6,10,0%,36,2%,44,Achievement,0,75%,59,408,84%,535,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,8,71%,41,412,68%,547,Achievement,7,10%,45,378,8%,516,Achievement,7,10,10,7,10,66,No reduction,12/19/1994,FRESENIUS MEDICAL CARE,04/12/2013
DCI NORTH COLUMBUS,112600,,,,2424 B WARM SPRINGS ROAD,,COLUMBUS,GA,31904,6,10,0%,100,0%,103,Achievement,6,93%,122,1242,92%,1187,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,2,53%,115,1285,49%,1242,Achievement,6,12%,119,1232,14%,1168,Achievement,4,10,10,10,10,75,No reduction,01/02/1995,"DIALYSIS CLINIC, INC.",01/21/2010
RCG THOMASVILLE,112601,,,,300 WEST JACKSON STREET,,THOMASVILLE,GA,31792,6,10,0%,34,0%,30,Achievement,3,89%,54,428,93%,374,Achievement,N/A,Insufficient data,N/A,52,Insufficient data,69,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,1,48%,40,429,50%,363,Achievement,7,9%,39,395,6%,342,Achievement,4,10,10,10,9,67,No reduction,01/01/1995,RENAL CARE GROUP INC.,09/17/2012
EAST MACON DIALYSIS CENTER,112602,,,,165 EMERY HIGHWAY SUITE 101,,MACON,GA,31217,6,10,0%,68,0%,63,Achievement,9,96%,86,737,96%,687,Achievement,N/A,Insufficient data,N/A,27,Insufficient data,43,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,4,59%,78,818,59%,770,Achievement,8,7%,83,784,7%,742,Achievement,6,10,10,10,10,88,No reduction,11/15/2000,DAVITA,11/01/2007
