Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Address 1,Address 2,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,Number of Patients Included in VAT Catheter Measure Score Achievement Period,VAT Catheter Achievement Period Numerator,VAT Catheter Achievement Period Denominator,VAT Catheter Improvement Measure Rate,VAT Catheter Improvement Period Numerator,VAT Catheter Improvement Period Denominator,VAT Catheter Measure Score Applied,VAT Fistula Measure Score,VAT Fistula Achievement Measure Rate,Number of Patients Included in VAT Fistula Measure Score Achievement Period,VAT Fistula Achievement Period Numerator,VAT Fistula Achievement Period Denominator,VAT Fistula Improvement Measure Rate,VAT Fistula Improvement Period Numerator,VAT Fistula Improvement Period Denominator,VAT Fistula Measure Score Applied,VAT Combined Measure Score,National Avg VAT Combined Measure Score,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Hemodialysis Measure Score Achievement Period,Kt/V Adult Hemodialysis Achievement Period Numerator,Kt/V Adult Hemodialysis Achievement Period Denominator,Kt/V Adult Hemodialysis Improvement Measure Rate,Kt/V Adult Hemodialysis Improvement Period Numerator,Kt/V Adult Hemodialysis Improvement Period Denominator,Kt/V Adult Hemodialysis Measure Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Peritoneal Dialysis Measure Score Achievement Period,Kt/V Adult Peritoneal Dialysis Achievement Period Numerator,Kt/V Adult Peritoneal Dialysis Achievement Period Denominator,Kt/V Adult Peritoneal Dialysis Improvement Measure Rate,Kt/V Adult Peritoneal Dialysis Improvement Period Numerator,Kt/V Adult Peritoneal Dialysis Improvement Period Denominator,Kt/V Adult Peritoneal Dialysis Measure Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Pediatric Hemodialysis Measure Score Achievement Period,Kt/V Pediatric Hemodialysis Achievement Period Numerator,Kt/V Pediatric Hemodialysis Achievement Period Denominator,Kt/V Pediatric Hemodialysis Improvement Measure Rate,Kt/V Pediatric Hemodialysis Improvement Period Numerator,Kt/V Pediatric Hemodialysis Improvement Period Denominator,Kt/V Pediatric Hemodialysis Measure Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,National Avg Kt/V Dialysis Adequacy Combined Measure Score,Hypercalcemia Measure Score,Hypercalcemia Achievement Measure Rate,Number of Patients Included in Hypercalcemia Measure Score Achievement Period,Hypercalcemia Achievement Period Numerator,Hypercalcemia Achievement Period Denominator,Hypercalcemia Improvement Measure Rate,Hypercalcemia Improvement Period Numerator,Hypercalcemia Improvement Period Denominator,Hypercalcemia Measure Score Applied,NHSN Measure Score,NHSN Achievement Measure Ratio,Number of Patients Included in NHSN Measure Score Achievement Period,NHSN Observed Achievement Period Numerator,NHSN Predicted Achievement Period Denominator,NHSN Improvement Measure Ratio,NHSN Observed Improvement Period Numerator,NHSN Predicted Improvement Period Denominator,NHSN Measure Score Applied,ICH CAHPS Admin Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,SRR Measure Score,SRR Achievement Measure Ratio,SRR Index Discharges,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,Total Performance Score,PY2017 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2015",Date of Ownership Record Update
RENAL CARE CENTER - WELLINGTON,102594,-,9835 LAKE WORTH RD STE 13,-,LAKE WORTH,FL,33467,7,3,14%,82,90,651,9%,64,700,Achievement,6,68%,75,481,712,68%,518,760,Achievement,4,6,7,97%,73,557,572,92%,555,604,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,6,2%,119,24,1015,4%,45,1048,Achievement,7,0.599,158,4,6.683,0.548,4,7.298,Achievement,10,10,10,2,1.14,119,34,29.87,1.08,36,33.33,Achievement,64,No Reduction,3/14/1988,FRESENIUS MEDICAL CARE,10/11/2003
WEST KENDALL DIALYSIS CENTER,102595,-,12000 SW 131ST AVE,-,MIAMI,FL,33186,7,6,9%,67,56,595,9%,48,533,Achievement,6,69%,66,449,654,71%,409,573,Achievement,6,6,9,99%,70,611,617,97%,526,543,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,117,9,1050,0%,4,1029,Achievement,7,0.459,154,3,6.539,0.579,4,6.91,Achievement,10,10,10,3,1.08,116,30,27.71,0.94,20,21.39,Achievement,74,No Reduction,4/1/1988,FRESENIUS MEDICAL CARE,5/15/1999
DSI SARASOTA DIALYSIS,102596,-,1921 WALDEMERE ST STE 107,-,SARASOTA,FL,34239,7,10,3%,137,44,1273,4%,54,1321,Achievement,4,62%,130,831,1336,55%,778,1408,Achievement,7,6,10,100%,144,1212,1218,99%,1246,1257,Achievement,9,93%,25,183,197,87%,216,248,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,8,1%,196,12,1769,1%,14,1789,Achievement,5,0.945,221,8,8.469,1.491,13,8.72,Achievement,10,10,10,7,0.81,152,30,36.96,0.74,21,28.34,Achievement,80,No Reduction,4/6/1988,DIVERSIFIED SPECIALTY INSTITUTES (DSI),10/16/2003
RENAL CARE CENTER - VERO BEACH,102597,-,1515 INDIAN RIVER BLVD STE A-101,-,VERO BEACH,FL,32960,7,4,12%,76,76,624,13%,75,575,Achievement,0,44%,68,304,687,43%,269,632,Achievement,2,6,9,99%,76,613,617,94%,534,567,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,4,3%,97,22,810,3%,21,774,Achievement,6,0.747,143,4,5.358,0.374,2,5.349,Achievement,10,10,10,8,0.75,84,18,23.86,0.96,24,24.91,Achievement,69,No Reduction,4/26/1988,FRESENIUS MEDICAL CARE,2/6/2016
RAI-US 19 NORTH-CLEARWATER,102598,-,29296 US HWY 19 N #1,-,CLEARWATER,FL,33761,7,5,11%,78,66,607,12%,69,557,Achievement,10,79%,72,529,668,74%,468,634,Achievement,7,6,9,99%,63,448,454,98%,438,449,Achievement,8,92%,13,64,74,74%,60,81,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,6,3%,105,29,1001,9%,76,854,Improvement,6,0.608,138,3,4.935,0.191,1,5.243,Achievement,10,8,10,4,1,119,29,28.97,0.93,21,22.64,Achievement,72,No Reduction,5/13/1988,RENAL ADVANTAGE,10/2/2005
HALLANDALE DIALYSIS,102601,-,2655 HOLLYWOOD BLVD,-,HOLLYWOOD,FL,33020,7,7,7%,48,31,423,12%,56,460,Achievement,9,78%,42,348,447,76%,387,507,Achievement,8,6,9,99%,47,407,412,100%,443,443,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,69,4,684,0%,3,779,Achievement,8,0.281,101,1,3.565,1.314,6,4.568,Achievement,10,10,10,3,1.11,57,18,16.15,1.21,30,24.72,Achievement,79,No Reduction,5/17/1988,DAVITA,4/26/2003
HERNANDO KIDNEY CENTER,102602,-,2985  LANDOVER BLVD,-,SPRING HILL,FL,34608,7,9,4%,117,41,962,6%,45,815,Achievement,8,74%,106,772,1038,72%,664,921,Achievement,9,6,9,99%,127,972,982,99%,856,867,Achievement,9,95%,35,264,279,92%,221,241,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,6,2%,195,39,1650,1%,18,1498,Achievement,3,1.422,261,12,8.437,2.182,18,8.249,Improvement,10,9,10,5,0.93,222,55,59.05,1.13,74,65.31,Achievement,72,No Reduction,6/3/1988,DAVITA,10/25/2005
RAI CARE CENTERS - PORT SAINT LUCIE,102603,-,8661 S US HWY 1,-,PORT SAINT LUCIE,FL,34952,7,5,10%,30,24,232,13%,35,276,Achievement,1,53%,27,134,252,50%,147,295,Achievement,3,6,6,96%,34,222,231,95%,275,290,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,6,2%,53,10,428,4%,18,460,Achievement,0,2.136,83,5,2.341,0,0,2.759,Achievement,No Score,10,10,4,1.04,51,12,11.51,1.17,14,12,Achievement,52,0.50%,6/20/1988,RENAL ADVANTAGE,8/5/2008
RAI 9TH STREET NORTH - ST PETERSBURG,102604,-,635 4TH ST NO,-,SAINT PETERSBURG,FL,33701,7,4,12%,49,51,409,9%,31,327,Achievement,5,66%,43,287,435,57%,208,368,Achievement,4,6,8,98%,50,375,383,96%,304,316,Achievement,7,89%,11,55,71,No Rate,,,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,6,2%,86,16,714,2%,16,651,Achievement,6,1.203,92,5,4.158,3.275,10,3.053,Improvement,No Score,10,10,1,1.41,107,46,32.64,1.51,40,26.51,Improvement,62,No Reduction,7/22/1988,FRESENIUS MEDICAL CARE,11/25/2014
CENTRAL TAMPA DIALYSIS,102605,-,4204 N MACDILL AVE SOUTH BLDG,-,TAMPA,FL,33607,7,8,6%,76,38,643,8%,55,715,Achievement,4,62%,71,439,703,59%,442,743,Achievement,6,6,7,97%,76,600,619,97%,642,659,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,118,6,1009,1%,7,997,Achievement,7,0.429,207,3,6.987,1.199,7,5.839,Achievement,10,10,10,1,1.28,175,49,38.29,1.38,64,46.3,Improvement,67,No Reduction,7/7/1988,GAMBRO HEALTHCARE,10/6/2005
BMA - PORT SAINT LUCIE,102609,-,1680 SE LYNGATE DR #101,-,PORT SAINT LUCIE,FL,34952,7,5,11%,64,57,505,6%,30,535,Achievement,2,56%,61,322,573,67%,385,573,Achievement,4,6,2,91%,61,452,495,88%,463,525,Improvement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,2,7,5,3%,76,21,717,6%,42,713,Improvement,7,0.441,134,2,4.536,0.278,1,3.603,Achievement,10,7,10,6,0.88,74,17,19.26,1.03,31,29.98,Achievement,58,0.50%,7/11/1988,FRESENIUS MEDICAL CARE,10/5/2005
FMC DIALYSIS SERVICES - NORTH JACKSONVILLE,102610,-,10614 LEM TURNER RD,-,JACKSONVILLE,FL,32218,7,2,16%,100,153,936,20%,193,970,Achievement,2,54%,101,538,1004,45%,466,1031,Improvement,2,6,4,94%,102,825,877,92%,821,891,Achievement,9,92%,13,65,77,61%,51,83,Improvement,No Score,No Rate,<11,,,No Rate,,,N/A,4,7,8,2%,176,34,1604,12%,186,1611,Improvement,9,0.158,227,2,12.636,0.27,4,14.817,Achievement,10,9,10,1,1.25,257,86,69.06,1.25,99,79.47,Achievement,58,0.50%,9/2/1988,FRESENIUS MEDICAL CARE,2/11/2003
BMA - JACKSONVILLE,102612,-,1944 ATLANTIC BLVD,-,JACKSONVILLE,FL,32207,7,0,20%,45,76,385,10%,40,381,Achievement,3,59%,42,246,420,62%,258,416,Achievement,1,6,7,97%,51,378,389,90%,407,452,Achievement,9,93%,19,119,131,86%,143,166,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,5,3%,77,21,686,7%,50,717,Improvement,7,0.481,90,2,4.156,0,0,4.205,Achievement,No Score,9,10,3,1.2,81,32,26.6,1.49,30,20.07,Improvement,60,No Reduction,11/9/1988,FRESENIUS MEDICAL CARE,5/15/1999
BMA - GAINESVILLE EAST,102613,-,1961 N. MAIN ST,-,GAINESVILLE,FL,32609,7,2,16%,87,119,735,20%,142,693,Achievement,0,51%,85,420,818,53%,392,743,Achievement,1,6,3,90%,80,593,656,85%,582,682,Improvement,10,98%,13,102,104,No Rate,,,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,4,7,8,1%,128,7,1060,3%,28,885,Achievement,9,0.141,161,1,7.071,0.363,3,8.267,Achievement,10,9,10,3,1.11,198,57,51.57,1.22,47,38.61,Achievement,60,No Reduction,1/4/1989,FRESENIUS MEDICAL CARE,1/10/2003
DAYTONA SOUTH DIALYSIS,102614,-,1801 S NOVA RD #306,-,DAYTONA BEACH,FL,32119,7,7,8%,71,43,571,6%,31,482,Achievement,10,80%,68,526,654,79%,430,547,Achievement,8,6,9,99%,79,589,593,100%,510,512,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,109,6,909,1%,5,829,Achievement,0,2.82,257,16,5.675,1.418,7,4.936,Achievement,10,5,10,0,1.27,84,25,19.73,0.99,24,24.27,Achievement,57,0.50%,12/29/1988,GAMBRO HEALTHCARE,10/6/2005
POMPANO BEACH ARTIFICIAL KIDNEY CENTER,102615,-,600 SW 3RD ST #1100,-,POMPANO BEACH,FL,33060,7,5,11%,103,90,783,11%,88,811,Achievement,7,71%,95,632,890,71%,625,881,Achievement,6,6,6,96%,132,799,834,98%,785,798,Achievement,10,99%,12,78,79,93%,158,170,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,8,1%,162,9,1383,0%,7,1440,Achievement,0,2.395,264,20,8.351,1.495,11,7.357,Achievement,10,9,10,4,1.01,203,54,53.67,1.2,71,59.04,Achievement,58,0.50%,12/27/1988,DAVITA,9/22/2001
DELTONA DIALYSIS,102616,-,1200 DELTONA BLVD STE 26,-,DELTONA,FL,32725,7,3,14%,56,62,431,12%,63,508,Achievement,4,63%,51,300,478,74%,403,545,Achievement,3,6,0,89%,59,370,415,89%,441,495,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,0,7,6,2%,88,16,690,5%,30,567,Achievement,7,0.568,122,3,5.286,0,0,5.034,Achievement,No Score,5,10,0,1.34,161,66,49.11,1.23,38,31,Achievement,41,1.00%,1/13/1989,DAVITA,4/1/2015
SANDS DIALYSIS LLC,102617,-,2655 W ATLANTIC AVE,-,DELRAY BEACH,FL,33445,7,8,6%,69,35,541,11%,59,524,Achievement,0,48%,67,296,612,53%,333,634,Achievement,4,6,9,99%,75,546,552,99%,562,570,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,99,2,777,1%,6,744,Achievement,3,1.376,161,7,5.089,0.732,4,5.464,Achievement,10,10,10,1,1.2,130,37,30.86,1.11,36,32.58,Achievement,63,No Reduction,3/21/1989,DAVITA,10/6/2005
LEHIGH ACRES DIALYSIS,102618,-,2814 LEE BOULEVARD,SUITE 16,LEHIGH ACRES,FL,33971,7,8,5%,41,16,323,8%,30,359,Achievement,6,69%,37,246,359,61%,252,415,Achievement,7,6,9,99%,44,339,341,99%,396,400,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,50,4,415,0%,0,453,Achievement,4,1.087,97,3,2.76,0.285,1,3.508,Achievement,No Score,2,9,6,0.89,49,10,11.24,0.4,5,12.38,Achievement,64,No Reduction,3/10/1989,DAVITA,10/6/2005
FMC - EAST ORLANDO,102619,-,2200 NORTH ALAFAYA TRAIL,SUITE 600,ORLANDO,FL,32826,7,4,13%,68,71,563,12%,60,493,Achievement,1,53%,61,329,624,62%,331,537,Achievement,3,6,7,97%,71,492,508,94%,462,493,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,107,13,940,4%,35,822,Achievement,3,1.373,159,10,7.283,1.696,10,5.897,Achievement,10,10,10,0,1.42,195,71,50.06,1.33,65,48.98,Achievement,54,0.50%,4/14/1989,FRESENIUS MEDICAL CARE,11/22/2006
ORLANDO DIALYSIS,102623,-,116 STURTEVANT ST,-,ORLANDO,FL,32806,7,7,8%,89,57,701,11%,78,722,Achievement,3,60%,80,466,771,58%,467,806,Achievement,5,6,9,99%,91,677,686,99%,732,737,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,105,13,895,1%,14,974,Achievement,5,1.19,150,6,5.041,2.527,16,6.33,Improvement,10,10,10,0,1.34,162,49,36.54,1.22,51,41.88,Achievement,64,No Reduction,7/25/1989,GAMBRO HEALTHCARE,10/6/2005
TALLAHASSEE DIALYSIS,102624,-,1607 PHYSICIANS DR,-,TALLAHASSEE,FL,32308,7,3,14%,77,85,587,10%,47,462,Achievement,4,62%,72,412,667,62%,325,521,Achievement,3,6,9,99%,76,585,590,99%,485,488,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,143,3,1193,0%,3,891,Achievement,2,1.566,256,16,10.217,0.165,1,6.056,Achievement,10,10,10,0,1.43,147,54,37.74,1,15,15.01,Achievement,58,0.50%,10/1/1989,DAVITA,10/6/2005
BARTOW DIALYSIS,102626,-,1190 E CHURCH ST,-,BARTOW,FL,33830,7,9,4%,41,14,347,7%,30,415,Achievement,9,77%,36,278,363,75%,339,454,Achievement,9,6,8,98%,44,346,352,95%,375,394,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,63,6,519,0%,0,576,Achievement,5,0.814,91,3,3.684,0.919,3,3.266,Achievement,No Score,10,10,5,1.02,108,16,15.64,1.51,48,31.84,Improvement,77,No Reduction,9/18/1989,GAMBRO HEALTHCARE,4/27/2015
QUINCY DIALYSIS,102627,-,878 STRONG RD,-,QUINCY,FL,32351,7,10,2%,64,11,631,1%,4,633,Achievement,2,58%,64,391,669,50%,337,675,Achievement,6,6,8,98%,66,574,586,98%,606,616,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,6,2%,106,22,926,1%,8,910,Achievement,3,1.21,139,6,4.958,0.236,1,4.233,Achievement,10,10,10,0,1.5,110,39,25.92,0.82,19,23.04,Achievement,59,0.50%,4/27/1990,GAMBRO HEALTHCARE,10/6/2005
GULF COAST DIALYSIS INC.,102628,-,3300 TAMIAMI TRAIL SUITE 101A,-,PORT CHARLOTTE,FL,33952,7,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,No Score,No Rate,<11,,,No Rate,,,N/A,10,96%,15,102,108,93%,104,112,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,10,0%,15,0,135,0%,0,161,Achievement,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,6,10,No Score,No Rate,<11,,N/A,1,3,2.99,N/A,95,No Reduction,3/22/1991,DAVITA,5/15/1999
FMC - TAMARAC,102629,-,7059 NW 88TH AVE,-,TAMARAC,FL,33321,7,0,33%,45,112,343,22%,65,298,Achievement,3,61%,39,228,375,72%,234,327,Achievement,1,6,8,98%,51,332,339,96%,302,314,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,79,8,656,5%,29,586,Achievement,5,0.861,132,6,6.972,0.478,3,6.279,Achievement,No Score,9,10,4,1.09,122,34,31.2,1.44,43,29.95,Improvement,61,No Reduction,4/30/1990,FRESENIUS MEDICAL CARE,2/3/2014
VENTURE DIALYSIS CENTER,102630,-,1680 NE 164TH ST,-,NORTH MIAMI BEACH,FL,33162,7,7,8%,46,32,418,7%,36,531,Achievement,7,70%,42,304,432,74%,399,541,Achievement,7,6,9,99%,47,410,414,99%,524,527,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,4,3%,71,19,661,1%,5,759,Achievement,4,1.051,105,4,3.807,0.246,1,4.061,Achievement,No Score,9,10,10,0.59,62,8,13.62,1.1,17,15.47,Achievement,76,No Reduction,9/25/1990,DAVITA,11/16/2015
TAMARAC ARTIFICIAL KIDNEY CENTER,102632,-,7140 W MCNAB RD,-,TAMARAC,FL,33321,7,6,9%,54,42,462,7%,30,431,Achievement,8,73%,52,376,517,69%,342,495,Achievement,7,6,7,97%,60,475,491,98%,470,478,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,92,10,799,0%,0,721,Achievement,7,0.543,133,3,5.523,0.657,3,4.57,Achievement,10,10,10,3,1.1,87,23,20.92,1.11,22,19.75,Achievement,72,No Reduction,9/18/1990,DAVITA,8/24/2011
NORTH PALM BEACH DIALYSIS CENTER,102634,-,2841 PGA BLVD,-,PALM BEACH GARDENS,FL,33410,7,5,10%,94,76,748,12%,95,825,Achievement,6,67%,83,558,831,67%,620,919,Achievement,5,6,9,99%,95,674,684,98%,724,740,Achievement,10,96%,12,64,68,95%,83,87,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,6,2%,138,21,1173,1%,9,1220,Achievement,4,1.01,203,8,7.923,0.926,7,7.562,Achievement,10,9,10,3,1.06,179,43,40.63,1.07,47,44.1,Achievement,64,No Reduction,1/8/1991,DAVITA,9/24/2012
MT DORA DIALYSIS,102635,-,2735 W OLD HWY 441,-,MOUNT DORA,FL,32757,7,7,7%,99,59,853,8%,78,952,Achievement,8,74%,90,669,906,71%,705,990,Achievement,7,6,7,97%,97,775,803,96%,842,875,Achievement,8,92%,15,84,96,98%,54,55,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,136,11,1212,0%,2,1232,Achievement,8,0.347,160,2,5.766,0.796,5,6.282,Achievement,10,10,10,4,1.01,156,41,40.78,1.15,50,43.49,Achievement,75,No Reduction,12/19/1990,DAVITA,1/21/2015
USF DIALYSIS CENTER,102636,-,10770 N 46TH STREET #A100,-,TAMPA,FL,33617,7,5,10%,102,95,966,10%,92,938,Achievement,1,53%,98,551,1039,50%,510,1021,Achievement,3,6,9,99%,107,912,924,99%,905,916,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,6,2%,145,23,1325,1%,13,1422,Achievement,5,0.978,217,9,9.199,0.774,7,9.041,Achievement,10,8,10,0,1.34,206,79,58.93,1.05,41,38.98,Achievement,57,0.50%,4/11/1991,DAVITA,10/24/2009
LAKE WORTH DIALYSIS,102637,-,2459 S CONGRESS AVE #100,-,WEST PALM BEACH,FL,33406,7,10,2%,60,10,431,5%,26,526,Achievement,4,64%,53,310,484,63%,374,592,Achievement,7,6,9,99%,64,418,421,99%,525,529,Achievement,9,93%,19,124,135,85%,107,126,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,92,5,713,0%,3,836,Achievement,3,1.429,141,5,3.5,2.055,8,3.893,Improvement,No Score,6,10,0,1.33,107,35,26.41,1.33,52,39.05,Achievement,59,0.50%,7/15/1991,DAVITA,7/3/2013
ORMOND BEACH DIALYSIS,102638,-,495 S NOVA RD SUITE 109,-,ORMOND BEACH,FL,32174,7,5,10%,69,53,510,11%,56,532,Achievement,8,73%,59,413,568,68%,397,586,Achievement,6,6,10,100%,76,526,528,97%,517,531,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,10,0%,87,2,742,0%,0,727,Achievement,4,1.159,210,6,5.176,2.223,11,4.949,Achievement,10,7,10,10,0.55,66,9,16.4,1.1,32,29.13,Achievement,81,No Reduction,7/19/1991,GAMBRO HEALTHCARE,10/6/2005
OCOEE DIALYSIS,102639,-,11140 W COLONIAL DR STE 5,-,OCOEE,FL,34761,7,8,5%,61,27,534,12%,66,554,Achievement,7,70%,57,406,578,56%,354,627,Achievement,8,6,9,99%,70,520,523,99%,571,575,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,99,5,880,0%,4,862,Achievement,5,0.833,203,4,4.804,1.541,10,6.488,Achievement,10,10,10,0,1.6,158,64,39.92,1.24,41,33.17,Achievement,69,No Reduction,8/21/1991,GAMBRO HEALTHCARE,10/6/2005
SUN CITY CENTER DIALYSIS,102642,-,783 CORTARO DR,-,RUSKIN,FL,33573,7,5,10%,50,39,406,11%,41,372,Achievement,3,60%,47,270,448,59%,242,413,Achievement,4,6,9,99%,57,388,392,95%,354,373,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,92,4,715,2%,10,625,Achievement,6,0.802,139,4,4.985,1.399,6,4.288,Achievement,10,7,10,0,1.35,139,47,34.84,0.77,16,20.88,Achievement,62,No Reduction,11/4/1991,GAMBRO HEALTHCARE,2/12/2013
COMPLETE DIALYSIS CARE,102645,-,7467 W SAMPLE RD,-,CORAL SPRINGS,FL,33065,7,10,3%,79,18,692,5%,37,765,Achievement,10,86%,69,616,718,84%,686,820,Achievement,10,6,9,99%,80,650,657,99%,688,696,Achievement,8,90%,17,94,109,89%,78,88,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,137,14,1175,1%,11,1221,Achievement,4,1.092,176,6,5.496,1.054,6,5.69,Achievement,10,10,10,2,1.16,133,34,29.43,1.25,39,31.13,Achievement,74,No Reduction,5/18/1992,DAVITA,12/6/2011
BRADENTON DIALYSIS,102646,-,3501 CORTEZ RD W,-,BRADENTON,FL,34210,7,5,10%,38,19,198,5%,8,175,Achievement,0,50%,30,120,241,49%,97,198,Achievement,3,6,8,98%,45,210,214,99%,177,179,Achievement,5,82%,14,52,75,No Rate,,,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,77,5,516,1%,4,365,Achievement,4,1.105,125,4,3.621,0.515,1,1.942,Achievement,No Score,6,9,4,1.05,98,28,26.76,1.15,11,9.58,Achievement,56,0.50%,5/6/1992,GAMBRO HEALTHCARE,4/29/2008
PEMBROKE PINES DIALYSIS,102647,-,12145 PEMBROKE ROAD,-,PEMBROKE PINES,FL,33025,7,6,9%,57,44,470,8%,43,517,Achievement,6,69%,52,363,525,72%,417,580,Achievement,6,6,9,99%,65,492,496,99%,520,525,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,118,12,1049,0%,4,1040,Achievement,5,0.823,193,6,7.293,1.298,10,7.702,Achievement,10,8,10,2,1.19,105,30,25.11,1.11,31,27.91,Achievement,67,No Reduction,6/19/1992,DAVITA,3/28/2008
MIAMI LAKES ARTIFICIAL KIDNEY CTR,102648,-,14600 NW 60TH AVE,-,MIAMI,FL,33014,7,8,6%,58,32,521,3%,16,483,Achievement,8,73%,58,423,583,68%,359,526,Achievement,8,6,9,99%,61,531,538,99%,487,494,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,103,10,955,0%,2,1020,Achievement,5,0.821,133,5,6.092,1.944,12,6.172,Achievement,10,10,10,0,1.51,105,37,24.47,1.29,41,31.83,Achievement,69,No Reduction,7/7/1992,DAVITA,3/15/2003
DIALYSIS CLINIC INC OF SOUTHPOINT,102649,-,4221 SOUTHPOINT BLVD,-,JACKSONVILLE,FL,32216,7,0,22%,69,138,626,19%,133,699,Achievement,0,52%,65,341,650,51%,379,740,Achievement,0,6,10,100%,68,605,606,99%,677,681,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,8,1%,81,11,753,3%,24,819,Achievement,3,1.368,94,9,6.579,1.342,10,7.451,Achievement,10,10,10,1,1.24,124,37,29.8,0.7,17,24.24,Achievement,56,0.50%,7/6/1992,"DIALYSIS CLINIC, INC.",1/2/1980
